indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2013-01-01,139.5721131524547,147.6451930264874,147.67283552810213,0.006540251446149448,-0.0009467671933827138,0.010143710449319387
2013-04-01,160.06231313144914,148.5371516122802,148.52472527418607,0.062460234936382086,0.0060412301105718935,0.005768764058991849
2013-07-01,148.7190983389643,149.51665637461335,148.4858223436447,0.025583898740256572,0.006594341898314315,-0.00026192898501942175
2013-10-01,145.65557871712397,148.31010230932716,147.52995359174318,-0.0005102057546158001,-0.008069696678229432,-0.0064374412103085366
2014-01-01,138.3312774504257,146.03518815086042,145.94537593087378,-0.00889028383967827,-0.015338902226107343,-0.010740718222242318
2014-04-01,156.7827344646443,144.86295117022436,144.45506130606302,-0.02048938693089808,-0.008027085769390596,-0.010211454904310524
2014-07-01,142.41561696656734,143.6808444865286,143.93691145069664,-0.0423851505475773,-0.008160172591725745,-0.0035869276623582413
2014-10-01,141.55431068833474,144.50495574549595,144.8059785654967,-0.02815730138805228,0.005735707233016862,0.006037833562225314
2015-01-01,138.67836300315082,146.51936887145268,146.64264041066153,0.002509089477970905,0.013940097179120592,0.012683605078737115
2015-04-01,163.10269671209025,150.22148525399513,148.36981312072797,0.04031032032338455,0.025267078414666466,0.011778107003731053
2015-07-01,148.06406242217543,149.91829690876455,148.9492869963219,0.03966169986072576,-0.0020182755131061825,0.0039056049435231
2015-10-01,145.05452542456325,148.24049651044066,148.12829213759377,0.024727009154352553,-0.011191431819325803,-0.005511908618591632
2016-01-01,139.68890189627257,147.05230196083838,146.52234896852985,0.007286925452810511,-0.008015316850470744,-0.01084156946582615
2016-04-01,156.808792564844,144.5539092951619,145.1224949991007,-0.03858859647401347,-0.01698982356863632,-0.009553859730503045
2016-07-01,143.1376470244089,144.94944123194625,144.6518922715294,-0.03327218851877667,0.002736224421137745,-0.003242796560066208
2016-10-01,142.8884430330436,145.9681320136411,145.3247187667976,-0.014932883928851615,0.007027904164630394,0.004651349420339512
2017-01-01,140.4707114606807,147.29049871997202,146.90689754306115,0.00559679082443254,0.009059283612722568,0.010887196546393918
2017-04-01,160.4570799144358,148.73476289130568,148.86524097109256,0.023265834076766856,0.0098055487888562,0.013330507013514348
2017-07-01,148.64931751850494,150.7196080263016,150.41780120785265,0.03850608563626978,0.013344863678213637,0.010429299859606278
2017-10-01,149.36512580908862,152.1973650476663,150.6838588548485,0.045326848264049424,0.009804676649018518,0.001768790959975508
2018-01-01,145.80542416453306,151.24936990758894,149.24961115485013,0.037977402181419206,-0.006228722420920096,-0.009518257037603228
2018-04-01,154.07233319843837,145.01002292272946,146.6875439256793,-0.03979099407394249,-0.041252052743569245,-0.01716632431633347
2018-07-01,143.49201806093072,144.6036087241772,144.23898144037017,-0.034694403873951285,-0.002802662811582479,-0.01669236814374453
2018-10-01,139.89576642631982,142.40254027870608,142.92178140018322,-0.06339739167007485,-0.015221393607607214,-0.009132066983788878
2019-01-01,137.25579447506047,142.7188869120187,142.7877555236167,-0.058637253987374516,0.0022214957169546246,-0.0009377568293194027
2019-04-01,154.97029740685804,143.66621984311894,142.98580143178637,0.005828198936035589,0.0066377544808364775,0.0013869950363980532
2019-07-01,140.97701026694895,143.55937661161565,142.50477464969688,-0.017527161635665478,-0.0007436906993165682,-0.0033641576805020224
2019-10-01,138.39210693799336,141.65072570341502,140.94920228745357,-0.010748427395180782,-0.013295201980183302,-0.010915931526274791
2020-01-01,130.35859519214236,135.01123919619346,138.78491047585848,-0.050250696586593535,-0.046872237853007315,-0.01535511926616806
2020-04-01,125.61552296987936,116.24471659590388,136.94173774269913,-0.18942194038584592,-0.13899970633569803,-0.01328078626732243
2020-07-01,126.60755310766439,128.67173106991154,136.17199282307146,-0.10192766275916254,0.10690390787571968,-0.0056209664950648275
2020-10-01,132.42284091404352,135.07682530665005,136.70941004370263,-0.04313299476410437,0.049778565839441624,0.003946606122812835
2021-01-01,134.57256815644334,139.19983548804305,138.30481608783006,0.032326007794804656,0.030523445987370446,0.011670052877979842
2021-04-01,149.14326115530665,140.1259584420236,140.55617790959252,0.18729960779663246,0.006653190003662823,0.016278260478888473
2021-07-01,141.56564762613974,143.05933177624811,143.2085546069787,0.11814535666569048,0.02093383243789315,0.018870580694732908
2021-10-01,143.49883821223375,146.39518942718038,146.06435686223824,0.08364113941174045,0.02331800106650661,0.019941561892702575
2022-01-01,143.7992553916351,149.18807311418445,148.56828694756743,0.06856291264699332,0.019077701240950207,0.017142649576657343
2022-04-01,159.59883618680078,151.20367742610685,149.9461045598712,0.07010424038271812,0.013510492292367893,0.009273968493626272
2022-07-01,150.05372557947993,150.86319316069486,149.9175014803568,0.05995859938956616,-0.002251825294251719,-0.00019075573585825012
2022-10-01,145.30253618109035,147.49940962051735,149.0522648966223,0.012569425587884764,-0.022296913314001743,-0.00577141811456805
2023-01-01,145.3306562410843,149.74547000225306,148.1524723544376,0.010649574264334438,0.015227588961300276,-0.006036758601479453
2023-04-01,151.17037793967734,145.4574434719374,147.3894401593569,-0.052810273862263335,-0.028635434048529973,-0.005150316987321268
2023-07-01,149.07605442531982,148.68325823729393,146.28800809239422,-0.006515474043610192,0.022177034659480066,-0.0074729374490588585
2023-10-01,143.53132240122292,145.2222392809185,144.5666905701424,-0.012189833890166701,-0.023277798707180275,-0.011766634495184558
2024-01-01,137.8379239553866,142.08085434338653,142.62383255638352,-0.05155644706694407,-0.02163156933185184,-0.013439181640643838
2024-04-01,148.65076408954238,139.5957729296481,141.06572729770383,-0.016667378123116028,-0.01749061423668241,-0.010924578527671591
