date,revenue,expenditure
2018-09-01,292969.1,330208.6
2018-10-01,305910.7,339821.3
2018-11-01,284263.1,334413.4
2018-12-01,383366.1,536630.4
2019-01-01,318011.4,314942.9
2019-02-01,290563.1,306025.2
2019-03-01,316642.5,354411.3
2019-04-01,338730.3,356609.4
2019-05-01,381110.8,369270.5
2019-06-01,519004.6,533716.4
2019-07-01,434152.4,457101
2019-08-01,414976.7,416427.9
2019-09-01,433065.1,473920.7
2019-10-01,457640.6,466697.3
2019-11-01,445101.6,476839.4
2019-12-01,606103,747608.6
2020-01-01,466843.2,500387.2
2020-02-01,440172.1,482598.1
2020-03-01,480807.2,616331.3
2020-04-01,553552.6,791358
2020-05-01,603360.62,861187.24
2020-06-01,742566,1002718.6
2020-07-01,629377.6,799143.7
2020-08-01,649176.2,749737.4
2020-09-01,657400.1,838515.6
2020-10-01,637538.6,736529.9
2020-11-01,632221.8,713464.3
2020-12-01,821355.2,1144732
2021-01-01,708034.3,720348.9
2021-02-01,688432.2,723993.4
2021-03-01,747505.6,835789.4
2021-04-01,794989.4,818243.2
2021-05-01,912087.7,926114.3
2021-06-01,1167879.3,1350546.8
2021-07-01,949269.3,1078837.9
2021-08-01,998829.8,1155254.1
2021-09-01,1424073.3,1155434.6
2021-10-01,1052868.3,1304487.9
2021-11-01,1049698.7,1241246.9
2021-12-01,1568895.8,2108303
2022-01-01,1033212.3,1090285.7
2022-02-01,1111507.4,1218700.8
2022-03-01,1228686.8,1486286.9
2022-04-01,1401031.5,1615016
2022-05-01,1563988.1,1811038
2022-06-01,1853861.7,2233052.6
2022-07-01,1575328,1697114.9
2022-08-01,1539406.7,1821242.7
2022-09-01,1930813.7,1972720.8
2022-10-01,1861625.4,2040324.4
2022-11-01,1850729.6,2132372
2022-12-01,2457650.5,2996846.3
2023-01-01,2082828.6,2343085.2
2023-02-01,2000614.6,2307062
2023-03-01,2214782.3,2566573.5
2023-04-01,2435078.8,2854731.3
2023-05-01,2902542.5,3307902.9
2023-06-01,3845994.4,4592187
2023-07-01,3170833.6,3651342.4
2023-08-01,3493367.014,3687269.714
2023-09-01,3850882,4445194.7
2023-10-01,4270010.6,4849951.6
2023-11-01,4688748.4,5151526.5
2023-12-01,6202144.5,8514493
2024-01-01,6509196.2,4739148.6
2024-02-01,6004027.6,5085317.602
2024-03-01,6623963.7,6385849.8
2024-04-01,7406199.4,7625761.3
2024-05-01,10002325.3,8148495.8
2024-06-01,10621868.8,10451159.7
2024-07-01,10543684,9960449
2024-08-01,10041479.8,9399766.9
2024-09-01,10355220.1,9828966.4
